Ticker,Last_Update,Earliest_Record,Name
JLG,,,John Laing 
JMG,,,JPM Emerging Markets Inv Tst 
JUP,,,Jupiter Fund Management 
JUST,,,Just 
KAZ,,,Kaz Minerals 
KNOS,,,Kainos 
LMP,,,LondonMetric Property 
LRE,,,Lancashire 
LWDB,,,Law Debenture 
LXI,,,LXi REIT 
MAB,,,Mitchells & Butlers 
MARS,,,Marston's 
MCRO,,,Micro Focus International 
MCS,,,McCarthy & Stone 
MDC,,,Mediclinic International 
MGAM,,,Morgan Advanced Materials 
MGNS,,,Morgan Sindall 
MKS,,,Marks & Spencer 
MNKS,,,Monks Inv Tst 
MONY,,,Moneysupermarket.com 
MRC,,,Mercantile Inv Tst (The) 
MSLH,,,Marshalls 
MYI,,,Murray International 
N91,,,Ninety One 
NESF,,,Nextenergy Solar 
NETW,,,Network Intl Holdings Ord 10p 
NEX,,,National Express 
NRR,,,NewRiver REIT 
OSB,,,OneSavings Bank 
OXIG,,,Oxford Instruments 
PAG,,,Paragon Banking 
PAGE,,,Page 
PAY,,,PayPoint 
PCT,,,Polar Cap Technology 
PETS,,,Pets at Home 
PFC,,,Petrofac 
PFG,,,Provident Financial 
PHP,,,Primary Health Properties 
PIN,,,Pantheon International 
PLI,,,Perpetual Inc & Growth 
PLP,,,Polypipe Group 
PLUS,,,Plus500 
PMO,,,Premier Oil 
PNL,,,Personal Assets 
PNN,,,Pennon 
PPH,,,PPHE Hotel 
PRTC,,,Puretech Health 
PSH,,,Pershing Square Holdings 
PSSL,,,Pollen Street Secured Lending 
PTEC,,,Playtech 
PZC,,,PZ Cussons 
QLT,,,Quilter 
QQ.,,,QinetiQ 
RAT,,,Rathbone Brothers 
RCP,,,RIT Capital Partners 
RDW,,,Redrow 
RHIM,,,Rhi Magnesita 
RMG,,,Royal Mail 
RNK,,,Rank 
ROR,,,Rotork 
RSW,,,Renishaw 
RTN,,,Restaurant Group 
SAFE,,,Safestore 
SBRE,,,Sabre Insurance 
SCIN,,,Scottish Investment Trust 
SCT,,,Softcat 
SDP,,,Schroder Asia Pacific 
SEQI,,,Sequoia Economic Infrast Inc 
SGC,,,Stagecoach 
SHB,,,Shaftesbury 
SHI,,,SIG 
SIG,,,Signature Aviation 
SMP,,,St Modwen Properties 
SMWH,,,WH Smith 
SNN,,,Sanne Group 
SNR,,,Senior Engineering 
SOI,,,Schroder Oriental Inc 
SPT,,,Spirent Communications 
SRE,,,Sirius Real Estate 
SRP,,,Serco 
SSON,,,Smithson Investment Trust 
SSPG,,,SSP 
SVS,,,Savills 
SXS,,,Spectris 
SYNC,,,Syncona 
SYNT,,,Synthomer 
TALK,,,Talktalk Telecom 
TATE,,,Tate & Lyle 
TBCG,,,TBC Bank 
TCAP,,,TP Icap 
TEM,,,Templeton Emerging Markets 
TEP,,,Telecom Plus 
TIFS,,,TI Fluid Systems 
TLW,,,Tullow Oil 
TMPL,,,Temple Bar Inv Tst 
TPK,,,Travis Perkins 
TRIG,,,The Renewables Infrastructure 
TRN,,,Trainline 
TRY,,,TR Property Inv Tst 
UDG,,,UDG Healthcare 
UKCM,,,UK Commercial Property REIT 
UKW,,,Greencoat UK Wind 
ULE,,,Ultra Electronics 
UTG,,,Unite 
VCT,,,Victrex 
VEIL,,,Vietnam Enterprise Investments 
VMUK,,,Virgin Money UK 
VOF,,,Vinacapital Vietnam Opp 
VSVS,,,Vesuvius 
VTY,,,Vistry Group 
VVO,,,Vivo Energy 
WEIR,,,Weir 
WG.,,,Wood (John) 
WIZZ,,,Wizz Air 
WKP,,,Workspace 
WMH,,,William Hill 
WOSG,,,Watches of Switzerland Ord 1.25p 
WTAN,,,Witan Inv Tst 
WWH,,,Worldwide Healthcare 
1COV,,,Covestro AG 
ADS,,,adidas AG 
ALV,,,Allianz SE 
BAS,,,BASF SE 
BAYN,,,Bayerische Motoren Werke AG 
BEI,,,Beiersdorf AG 
BMW,,,Bayerische Motoren Werke AG 
CON,,,Continental AG 
DAI,,,Daimler AG 
DB1,,,Deutsche Boerse AG 
DBK,,,Deutsche Bank AG 
DPW,,,Deutsche Post AG 
DTE,,,Deutsche Telekom AG 
EOAN,,,E.ON SE 
FME,,,Fresenius Medical Care AG & CO KGaA 
FRE,,,Fresenius SE &Co KGaA 
HEI,,,HeidelbergCement AG 
HEN3,,,Henkel AG & Co KGaA 
IFX,,,Infineon Technologies AG 
LHA,,,Deutsche Lufthansa AG 
LIN,,,Linde PLC 
MRK,,,Merck KGaA 
MTX,,,MTU Aero Engines AG 
MUV2,,,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen 
RWE,,,RWE AG 
SAP,,,SAP SE 
SIE,,,Siemens AG 
VNA,,,Vonovia SE 
VOW3,,,Volkswagen AG 
WDI,,,Wirecard AG 
FP,,,SC Fondul Proprietatea SA 
TLV,,,Banca Transilvania S.A. 
SNP,,,OMV Petrom S.A. 
SNG,,,S.N.G.N. Romgaz S.A. 
BRD,,,BRD – Groupe Société Générale S.A. 
TGN,,,S.N.T.G.N. Transgaz S.A. 
EL,,,Electrica S.A. 
DIGI,,,DIGI 
TEL,,,C.N.T.E.E. Transelectrica 
SNN,,,S.N. Nuclearelectrica S.A. 
M,,,MedLife S.A. 
SFG,,,Sphera Franchise Group 
COTE,,,CONPET 
WINE,,,Purcari Wineries plc 
BVB,,,SC Bursa de Valori București S.A. 
